pokemonId,latitude,longitude,appearedTimeOfDay,appearedHour,appearedMinute,city,continent,weather,population_density
16,38.90359,-77.19978,night,5,57,New_York,America,Clear,761.8856
19,32.928558,-84.340278,night,5,54,New_York,America,Clear,86.49836
116,32.930646,-84.339867,night,5,53,New_York,America,Clear,86.49836
74,32.943651,-84.334443,night,5,53,New_York,America,Clear,86.49836
23,26.331856,-81.814452,night,5,50,New_York,America,Clear,0
21,42.396695,-71.071458,night,5,48,New_York,America,Overcast,5597.982
16,26.332885,-81.811633,night,5,47,New_York,America,Clear,0
116,26.334004,-81.811975,night,5,45,New_York,America,Clear,0
13,41.938928,-71.135429,night,5,42,New_York,America,Clear,214.14536
21,39.416425,-77.423176,night,5,41,New_York,America,Clear,849.44226
48,44.477659,-73.211289,night,5,41,New_York,America,Clear,591.0899
13,35.742358,-78.662789,night,5,41,New_York,America,Clear,493.07547
16,35.742997,-78.65357,night,5,41,New_York,America,Clear,493.07547
16,42.396573,-71.07118,night,5,40,New_York,America,Overcast,5597.982
21,38.907171,-77.202386,night,5,40,New_York,America,Clear,790.0195
13,35.743999,-78.653481,night,5,40,New_York,America,Clear,493.07547
16,35.742256,-78.661725,night,5,38,New_York,America,Clear,493.07547
14,35.743401,-78.654279,night,5,38,New_York,America,Clear,493.07547
21,35.742812,-78.66137,night,5,37,New_York,America,Clear,493.07547
16,35.742694,-78.654811,night,5,36,New_York,America,Clear,493.07547
16,35.742955,-78.654013,night,5,36,New_York,America,Clear,493.07547
16,41.938431,-71.13515,night,5,35,New_York,America,Clear,214.14536
19,35.742795,-78.661193,night,5,34,New_York,America,Clear,493.07547
123,39.415727,-77.423356,night,5,34,New_York,America,Clear,849.44226
21,35.742609,-78.653925,night,5,34,New_York,America,Clear,493.07547
16,41.938168,-71.1358,night,5,33,New_York,America,Clear,214.14536
133,39.31777,-84.507185,night,5,33,New_York,America,Clear,1135.3196
19,35.742113,-78.662877,night,5,33,New_York,America,Clear,493.07547
16,35.744386,-78.654013,night,5,33,New_York,America,Clear,493.07547
16,26.547721,-80.078156,night,5,33,New_York,America,Clear,1517.408
16,38.905285,-77.200589,night,5,32,New_York,America,Clear,790.0195
128,44.476769,-73.212749,night,5,32,New_York,America,Clear,591.0899
16,35.742551,-78.663054,night,5,31,New_York,America,Clear,493.07547
13,35.742122,-78.66208,night,5,30,New_York,America,Clear,493.07547
48,39.317651,-84.506365,night,5,30,New_York,America,Clear,1135.3196
41,44.476223,-73.210105,night,5,30,New_York,America,Clear,591.0899
